"IDCAL";"FOODNAME";"CALORIE";"PROTEIN";"FATS";"CARBHDRT";"CALCIUM";"PHOSPHOR";"IRON";"VITA";"VITB1";"VITC";"amount";"FWEIGHT";"added";"ISACTIVE"
140;"Kacang tanah terkupas selaput";452.0;25.3;42.8;21.1;58.0;335.0;1.0;0.0;0.3;3.0;100.0;100;"admin";1
141;"Kacang tolo";331.0;24.4;1.9;56.6;481.0;399.0;13.9;0.0;0.06;0.0;100.0;100;"admin";1
142;"Kacang tunggak (kacang tolo)";342.0;22.9;1.4;61.6;77.0;449.0;7.0;30.0;0.92;2.0;100.0;100;"admin";1
143;"Kacang uci";358.0;23.4;2.4;60.6;269.0;264.0;0.5;0.0;0.1;2.0;100.0;100;"admin";1
144;"Kecipir biji";405.0;32.8;17.0;36.5;80.0;200.0;2.0;0.0;0.03;0.0;100.0;100;"admin";1
145;"Kelapa muda air";17.0;0.2;0.1;3.8;15.0;8.0;0.0;0.0;0.0;1.0;100.0;100;"admin";1
146;"Kelapa muda daging";68.0;1.0;0.9;14.0;7.0;30.0;1.0;0.0;0.06;4.0;53.0;100;"admin";1
147;"Kelapa setengah tua daging";180.0;4.0;15.0;10.0;8.0;55.0;1.0;10.0;0.05;4.0;53.0;100;"admin";1
148;"Kelapa tua daging";359.0;3.4;34.7;14.0;21.0;98.0;2.0;0.0;0.1;2.0;53.0;100;"admin";1
149;"Kemiri";636.0;19.0;63.0;8.0;80.0;200.0;2.0;0.0;0.06;0.0;100.0;100;"admin";1
150;"Kenari";657.0;15.0;66.0;13.0;92.0;691.0;8.0;0.0;0.42;0.0;100.0;100;"admin";1
151;"Ketumbar";404.0;14.1;16.1;54.2;630.0;370.0;18.0;1570.0;0.2;0.0;100.0;100;"admin";1
152;"Kluwak";273.0;10.0;24.0;13.5;40.0;100.0;2.0;0.0;0.15;30.0;80.0;100;"admin";1
153;"Koro andong";356.0;20.5;4.1;61.6;150.0;272.0;6.2;0.0;0.29;1.0;100.0;100;"admin";1
154;"Koro benguk biji";332.0;24.0;3.0;55.0;130.0;200.0;2.0;70.0;0.3;0.0;95.0;100;"admin";1
155;"Koro loke biji";33.0;2.7;0.2;7.9;60.0;40.0;2.0;40.0;0.1;0.0;95.0;100;"admin";1
156;"Koro wedus biji";338.0;22.2;1.5;61.0;88.0;395.0;4.0;0.0;0.62;0.0;100.0;100;"admin";1
157;"Lamtoro (pete cina) biji muda";85.0;5.7;0.3;15.4;180.0;53.0;3.0;423.0;0.08;15.0;100.0;100;"admin";1
158;"Lamtoro (pete cina) biji tua";148.0;10.6;0.5;26.2;155.0;59.0;2.0;416.0;0.23;20.0;100.0;100;"admin";1
159;"Lamtoro gung / kupasan";367.0;46.4;5.4;32.5;136.0;441.0;23.3;0.0;0.06;9.3;100.0;100;"admin";1
160;"Lamtoro var. lokal";336.0;23.8;1.2;59.7;867.0;321.0;1.5;0.0;0.15;16.0;100.0;100;"admin";1
161;"Lamtoro var. tempe";128.0;10.7;0.5;21.3;203.0;108.0;0.0;0.0;0.17;2.0;100.0;100;"admin";1
162;"Nangka biji";165.0;4.2;0.1;36.7;33.0;200.0;1.0;0.0;0.2;10.0;75.0;100;"admin";1
163;"Pala biji";494.0;7.5;36.4;40.1;120.0;240.0;5.0;0.0;0.2;0.0;95.0;100;"admin";1
164;"Pete segar";142.0;10.4;2.0;22.0;95.0;115.0;1.0;200.0;0.17;36.0;36.0;100;"admin";1
165;"Saga merah terkupas";449.0;30.6;25.5;31.9;1062.0;161.0;14.2;0.0;0.09;7.0;100.0;100;"admin";1
166;"Wijen";568.0;19.3;51.1;18.1;1125.0;614.0;10.0;0.0;0.93;0.0;100.0;100;"admin";1
167;"Wijen (DKBM P3G '90)";555.0;11.5;51.5;21.6;1408.0;556.0;6.5;0.0;0.95;0.0;100.0;100;"admin";1
168;"Ampas tahu";414.0;26.6;18.3;41.3;19.0;29.0;4.0;0.0;0.2;0.0;100.0;100;"admin";0
169;"Ampas tahu (DKBM P3G '90)";67.0;5.0;2.1;8.1;460.0;88.0;1.0;0.0;0.06;0.0;100.0;100;"admin";0
170;"Biji jambu mete goreng";629.0;21.5;56.6;19.8;502.0;493.0;8.0;0.0;0.18;0.0;100.0;100;"admin";1
171;"Bongkrek(tempe bungkil kelapa)";119.0;4.4;3.5;18.3;27.0;100.0;3.0;0.0;0.08;0.0;100.0;100;"admin";1
172;"Emping (kerupuk melinjo)";345.0;12.0;1.5;71.5;100.0;400.0;5.0;0.0;0.2;0.0;100.0;100;"admin";1
173;"Kac.tanah sangan tanpa slpt";559.0;26.9;44.2;23.6;74.0;393.0;2.0;0.0;0.3;0.0;100.0;100;"admin";1
174;"Kacang ampas";96.0;3.7;0.6;19.1;133.0;150.0;1.3;0.0;0.05;0.0;100.0;100;"admin";1
175;"Kacang babi jadi tempe";139.0;12.5;0.8;31.9;68.0;182.0;2.6;0.0;0.1;0.0;100.0;100;"admin";1
176;"Kacang babi kecipir tempe";212.0;17.5;10.0;12.9;186.0;160.0;2.2;0.0;0.02;0.0;100.0;100;"admin";1
177;"Kacang oncom";376.0;14.9;6.0;65.7;199.0;110.0;10.9;0.0;0.03;0.0;100.0;100;"admin";1
178;"Kacang tanah goreng";564.0;25.5;44.4;25.5;106.0;390.0;4.1;0.0;0.4;0.0;100.0;100;"admin";1
179;"Kacang tanah rebus dgn kulit";360.0;13.5;31.2;12.8;42.0;177.0;1.0;0.0;0.44;5.0;43.0;100;"admin";1
180;"Keju kacang tanah (peanut b)";590.0;27.0;49.0;20.9;60.0;360.0;2.0;0.0;0.3;0.0;100.0;100;"admin";1
181;"Kembang tahu";380.0;48.9;13.8;23.3;378.0;781.0;0.0;0.0;0.0;0.0;100.0;100;"admin";1
182;"Koro kerupuk biji";125.0;8.3;0.7;22.1;17.0;12.0;3.0;80.0;0.11;31.0;68.0;100;"admin";1
183;"Kwaci";515.0;30.6;42.1;13.8;54.0;312.0;6.0;0.0;0.02;0.0;35.0;100;"admin";1
184;"Lamroto tempe dengn kulit";146.0;11.7;2.3;19.6;128.0;41.0;6.8;0.0;0.19;0.0;100.0;100;"admin";1
185;"Lamtoro tempe";131.0;18.0;0.8;13.0;95.0;154.0;12.4;0.0;0.2;0.0;100.0;100;"admin";1
186;"Oncom";187.0;13.0;6.0;22.6;96.0;115.0;27.0;0.0;0.09;0.0;100.0;100;"admin";1
187;"Oncom dan singkong";351.0;11.0;5.3;65.9;164.0;113.0;7.8;0.0;0.01;0.0;100.0;100;"admin";1
188;"Santan (kelapa diperas)";324.0;4.2;34.3;5.6;14.0;45.0;2.0;0.0;0.02;2.0;100.0;100;"admin";1
189;"Santan(kelapa diperas dgn air)";122.0;2.0;10.0;7.6;25.0;30.0;0.0;0.0;0.0;2.0;100.0;100;"admin";1
190;"Saridele bubuk";344.0;30.0;20.0;43.0;450.0;500.0;4.0;2000.0;0.7;10.0;100.0;100;"admin";1
191;"Susu kedele";41.0;3.5;2.5;5.0;50.0;45.0;1.0;200.0;0.08;2.0;100.0;100;"admin";1
192;"Tahu";68.0;7.8;4.6;1.6;124.0;63.0;1.0;0.0;0.06;0.0;100.0;100;"admin";1
193;"Tahu (DKBM P3G '90)";80.0;10.9;4.7;0.8;223.0;183.0;2.4;0.0;0.01;0.0;100.0;100;"admin";1
194;"Taokoa (DKBM P3G '90)";148.0;13.8;8.5;4.0;140.0;214.0;8.5;0.0;0.02;0.0;100.0;100;"admin";1
195;"Taokoa";104.0;12.9;6.8;1.2;153.0;119.0;2.0;0.0;0.05;0.0;100.0;100;"admin";1
196;"Tauco";166.0;10.4;4.9;24.1;55.0;365.0;1.0;23.0;0.05;0.0;100.0;100;"admin";1
197;"Tempe gembus";73.0;5.7;1.3;10.3;204.0;80.0;1.5;0.0;0.09;0.0;100.0;100;"admin";1
198;"Tempe gembus yogya";76.0;8.6;0.7;10.6;76.0;142.0;16.5;0.0;0.79;0.0;100.0;100;"admin";1
199;"Tempe gembus(puslitbang)";73.0;5.7;1.3;10.3;204.0;80.0;1.5;0.0;0.09;0.0;100.0;100;"admin";1
200;"Tempe kedelai dan jagung";143.0;12.0;5.5;11.4;155.0;156.0;6.8;0.0;0.33;0.0;100.0;100;"admin";1
201;"Tempe kedelai murni";201.0;20.8;8.8;13.5;155.0;326.0;4.0;0.0;0.19;0.0;100.0;100;"admin";1
202;"Tempe kedelai pasar";150.0;14.0;7.7;9.1;517.0;202.0;1.5;0.0;0.17;0.0;100.0;100;"admin";1
